Name,Win,Loss,Game,IP,K/9,BB/9,HR/9,ERA,FIP,WAR
Tanner Bibee,33,23,86,492,8.87,2.58,1.13,3.64,3.85,8.1
David Peterson,31,28,121,573,9.02,3.74,0.9,4.18,3.87,8
Shane McClanahan,33,16,74,404.2,10.14,2.58,1.07,3.02,3.36,8
Lance Lynn,39,28,104,579.2,9.32,2.72,1.51,4.16,4.32,7.9
Tanner Houck,21,32,110,457.1,8.42,2.93,0.83,4.09,3.73,7.7
Jose Quintana,30,33,129,606.1,7.51,3.25,0.96,3.83,4.07,7.7
Robbie Ray,39,30,104,598.2,10.4,3.11,1.4,3.49,3.99,7.7
Frankie Montas,29,34,99,522,9.14,3.12,1.21,4.19,4.02,7.3
Nick Martinez,31,28,190,521.2,7.44,2.4,1.07,3.69,3.96,7.3
Jon Gray,30,34,111,550.1,8.68,3.03,1.24,4.37,4.18,7.2
Cristian Javier,30,20,112,483.2,10.12,3.74,1.21,3.68,4.05,7.1
Dean Kremer,40,39,121,651.2,7.65,2.89,1.31,4.25,4.4,7.1
Raisel Iglesias,24,23,324,322.1,10.81,1.93,0.98,2.6,2.9,7.1
Andrew Abbott,27,23,74,408.1,8.35,3.06,1.3,3.39,4.27,7
Kyle Bradish,19,15,66,353.2,9.44,2.93,0.89,3.46,3.51,7
Reynaldo L?pez,21,20,176,329.2,9.56,2.78,0.82,2.7,3.2,6.9
Clay Holmes,33,25,295,418.1,8.8,3.38,0.58,3.29,3.4,6.8
Bryan Woo,28,15,70,395.2,8.92,1.82,1.21,3.21,3.65,6.8
Brayan Bello,39,35,99,538.1,7.71,3.21,1,4.1,4.15,6.7
Matthew Boyd,25,23,78,377,8.36,2.63,1,3.65,3.8,6.7
Steven Matz,29,21,132,423.1,8.23,2.36,1.11,4,3.84,6.5
Adam Wainwright,33,30,85,499,6.71,2.62,1.03,4.18,4.13,6.4
Garrett Whitlock,25,14,164,312.2,9.79,2.19,0.92,3.14,3.18,6.4
Nick Lodolo,23,22,74,402.1,9.93,2.55,1.3,4.12,4.09,6.4
Aaron Civale,36,34,117,603.2,8.16,2.55,1.39,4.25,4.36,6.4
