pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,med_income,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,satis,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10,esteem
24060001,240600,1,1,1,1,1960,61,4,3,5,2,7,275,5,1,1,1,86,2,1,10,5,20,30,50,2, , , ,0, ,2, ,6,5,6,5.67,6,6,6,5,5,6,5,6,3,2,2,2,2,2,2,1,2,2,2,1,2,2,3,3,1,3,1,3,3,3,1,1,28
24060002,240600,2,1,1,2,1963,58,4,3,5,2,1,0,1,2, ,0, ,2,1,10,3,40,50,90,2, , , ,0, ,1,5,6,5,5,5.33,6,5,6,6,5,5,6,6,1,2,2,1,3,4,3,3,2,2,2,1,2,1,3,4,1,3,1,3,3,3,1,1,29
24060004,240600,4,1,1,2,1993,28,5,4,5,1,7,275,5,1,1,1,31,2,1,1,3,40,100,140,1,1,20,40,60,2,1,3,5,6,6,5.67,6,5,5,6,6,6,6,5,2,1,2,1,2,1,2,2,1,1,1,2,1,2,3,4,1,3,2,3,3,1,1,1,30
24060005,240600,5,1,1,1,2000,21,5,4,1,1,1,0,1,2, ,0, ,2,1,10,3,50,40,90,1,1,30,20,50,2,1,2,6,6,6,6,6,6,6,5,6,6,7,6,2,1,1,2,2,2,2,1,2,1,1,2,1,2,3,3,1,3,1,3,3,3,1,1,28
24080001,240800,1,1,1,1,1970,51,5,4,5,2,10,425,7,1,1,1,24,2,1,10,2,120,360,480,1,12,60,90,150,1,2, ,6,6,6,6,6,6,6,6,5,6,6,6,4,3,3,3,3,3,2,2,3,2,2,2,3,2,3,3,1,3,1,3,3,3,1,2,27
24080002,240800,2,1,1,2,1975,46,5,4,5,2,8,325,6,1,1,1,24,1,1,2,2,120,300,420,1,16,60,60,120,1,1,120,6,6,6,6,5,5,5,5,3,7,7,7,7,7,7,7,2,2,1,1,1,1,2,2,2,2,3,3,1,3,2,4,3,3,1,1,28
24080003,240800,3,0,1,2,2001,20,5,4,1,1,1,0,1,2, ,0, ,2,1,8,1,60,240,300,1,15,60,180,240,1,1,5,6,6,6,6,6,6,6,6,5,6,6,6,4,4,4,4,2,2,2,1,1,1,1,1,1,1,3,3,1,4,2,4,4,4,2,1,28
24080004,240800,4,1,1,1,2004,17,4,3,1,1,1,0,1,2, ,0, ,2,1,10,1,60,180,240,1,2,60,180,240,1,2, ,6,6,6,6,6,5,6,5,6,7,6,6,5,5,4,4,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,3,4,3,2,2,25
24140001,241400,1,1,1,1,1971,50,5,4,5,2,8,325,6,1,1,1,31,1,1,10,5,0,60,60,2, , , ,0, ,1,12,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,3,3,3,3,3,22
24140002,241400,2,1,1,2,1974,47,5,4,5,2,6,225,5,1,1,1,31,1,2, , , , ,0,2, , , ,0, ,1,120,3,2,2,2.33,2,3,3,2,3,4,4,4,4,5,5,5,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,2,2,1,21
24140003,241400,3,1,1,1,2003,18,4,3,1,1,1,0,1,2, ,0, ,2,1,10,2,60,60,120,1,12,60,60,120,1,1,12,4,4,4,4,3,3,3,3,2,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,3,3,2,2,2,25
24150001,241500,1,1,1,1,1960,61,4,3,5,2,10,425,7,1,1,1,43,2,1,10,2,5,5,10,2, , , ,0, ,1, ,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
24150002,241500,2,1,1,2,1962,59,4,3,5,2,5,175,4,1,1,1,52,1,1,1,6,60,0,60,2, , , ,0, ,1,24,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,20
24150003,241500,3,1,1,2,1992,29,5,4,5,1,6,225,5,1,1,1,28,2,1,10,1,120,180,300,2, , , ,0, ,1,120,5,5,5,5,3,3,3,4,1,6,6,6,7,4,6,5,3,3,2,2,4,2,1,1,3,3,3,3,2,4,1,3,3,3,1,2,27
24150004,241500,4,1,1,1,1995,26,5,4,5,1,1,0,1,2, ,0, ,2,1,10,1,60,60,120,1,15,60,60,120,1,1,6,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,2,2,2,1,1,27
24190002,241900,2,1,1,2,1964,57,4,3,5,2,6,225,5,1,3,3,89,2,1,9,4,10,10,20,1,12,10,10,20,2,1,5,6,6,6,6,6,5,6,5,5,5,6,5,2,1,2,2,3,2,2,1,2,2,1,2,2,2,3,3,1,4,2,3,3,4,2,1,26
24200001,242000,1,1,1,1,1985,36,4,3,5,2,8,325,6,1,1,1,92,2,1,2,7,30,90,120,1,12,10,10,20,1,2, ,6,5,6,5.67,6,5,5,6,5,6,6,5,1,2,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,3,4,3,2,3,1,1,25
24200002,242000,2,1,1,2,1982,39,4,3,5,2,5,175,4,1,1,1,93,2,1,9,5,10,0,10,1,12,10,10,20,2,1, ,6,5,6,5.67,6,5,5,6,5,6,5,5,2,2,1,2,2,1,2,2,1,2,2,1,2,2,4,3,1,4,2,4,4,4,1,1,30
24220001,242200,1,1,1,1,1966,55,4,3,5,4,6,225,5,1,1,1,91,2,2, , , , ,0,2, , , ,0, ,2, ,4,3,3,3.33,2,3,3,3,3,4,4,4,3,3,3,3,3,2,3,2,2,2,2,2,3,2,1,1,1,2,2,2,3,2,2,2,20
24220005,242200,5,1,1,2,1937,84,2,1,5,3,2,25,2,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,3,3,2,2.67,2,2,3,3,3,2,2,3,4,3,4,3,4,4,3,3,2,3,3,3,3,3,1,1,3,1,4,2,2,2,2,2,14
24230001,242300,1,1,1,1,1941,80,5,4,5,2,6,225,5,1,3,3,52,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,2,3,3,4,4,4,4,4,3,3,4,4,2,2,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,2,2,2,23
24230002,242300,2,1,1,2,1948,73,5,4,5,2,6,225,5,1,4,4,52,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,1,22
24250001,242500,1,1,1,1,1975,46,5,4,5,2,10,425,7,1,1,1,52,2,1,9,5,10,10,20,1,12,20,10,30,1,1,4,6,6,6,6,6,5,6,6,5,6,5,6,2,1,2,2,2,1,2,3,2,1,2,2,2,2,4,4,1,4,2,3,4,3,1,2,30
24250002,242500,2,1,1,2,1975,46,5,4,5,2,6,225,5,1,1,1,52,2,1,9,4,20,10,30,1,12,20,10,30,1,1,5,6,5,6,5.67,6,6,5,5,6,6,6,6,2,3,1,2,3,1,2,1,2,2,1,1,1,1,4,3,1,4,3,4,3,4,1,2,27
24260001,242600,1,1,1,1,1956,65,4,3,5,2,4,125,4,2, ,0, ,2,1,10,2,10,10,20,1,12,10,10,20,2,2, ,5,5,5,5,5,6,5,5,5,5,5,5,2,2,3,2,2,1,2,1,1,2,2,3,3,3,3,3,2,4,2,3,3,3,1,2,26
24270001,242700,1,1,1,1,1953,68,3,2,5,2,2,25,2,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,5,5,5,5,5,4,5,5,5,6,6,5,1,2,1,1,2,2,1,2,2,1,2,3,2,2,4,3,2,3,2,2,1,2,3,2,22
