key,key1
1000220CS3000181,1000220CS300018
1001037CS3000211,1001037CS300021
1000193CS2000341,1000193CS200034
1001325CS3000141,1001325CS300014
1000373CS2000021,1000373CS200002
1000425CS3000161,1000425CS300016
1000353CS2000311,1000353CS200031
1000386CS1000031,1000386CS100003
1001367CS3000181,1001367CS300018
1001037CS2000371,1001037CS200037
1000384CS1000071,1000384CS100007
1001263CS2000261,1001263CS200026
1001367CS2000251,1001367CS200025
1001197CS1000101,1001197CS100010
1000388CS2000281,1000388CS200028
1000387CS3000181,1000387CS300018
1000384CS2000301,1000384CS200030
1000413CS2000281,1000413CS200028
1000981CS3000021,1000981CS300002
1001057CS2000291,1001057CS200029
1001202CS1000031,1001202CS100003
1001168CS1000061,1001168CS100006
1001145CS2000291,1001145CS200029
1000647CS1000081,1000647CS100008
1000765CS1000081,1000765CS100008
1000765CS3000181,1000765CS300018
1001086CS1000021,1001086CS100002
1000022CS2000071,1000022CS200007
1001020CS2000051,1001020CS200005
1000216CS2000071,1000216CS200007
1000388CS3000161,1000388CS300016
1001043CS1000051,1001043CS100005
1001020CS2000281,1001020CS200028
1000819CS3000071,1000819CS300007
1000178CS2000071,1000178CS200007
1001239CS3000431,1001239CS300043
1000235CS2000311,1000235CS200031
1001006CS2000161,1001006CS200016
1001370CS3000351,1001370CS300035
1000507CS3000021,1000507CS300002
1000392CS3000071,1000392CS300007
1000427CS3000111,1000427CS300011
1000399CS3000181,1000399CS300018
1001376CS1000061,1001376CS100006
1000432CS2000061,1000432CS200006
1000392CS1000061,1000392CS100006
1000403CS2000061,1000403CS200006
1000406CS1000091,1000406CS100009
1000412CS1000021,1000412CS100002
1001248CS3000311,1001248CS300031
1001248CS3000141,1001248CS300014
1001248CS3000171,1001248CS300017
1001248CS2000081,1001248CS200008
1000412CS3000221,1000412CS300022
1000412CS3000331,1000412CS300033
1000421CS3000351,1000421CS300035
1000420CS3000111,1000420CS300011
1000420CS1000011,1000420CS100001
1000513CS3000181,1000513CS300018
1000619CS1000011,1000619CS100001
1000391CS2000291,1000391CS200029
1000905CS2000031,1000905CS200003
1000276CS3000361,1000276CS300036
1000700CS3000111,1000700CS300011
1000510CS3000161,1000510CS300016
1000941CS1000091,1000941CS100009
1001141CS2000301,1001141CS200030
1000618CS3000311,1000618CS300031
1000428CS3000111,1000428CS300011
1000424CS1000101,1000424CS100010
1000423CS2000251,1000423CS200025
1000409CS1000081,1000409CS100008
1001174CS1000101,1001174CS100010
1001374CS2000341,1001374CS200034
1000970CS1000011,1000970CS100001
1000417CS2000281,1000417CS200028
1000401CS2000281,1000401CS200028
1000401CS3000201,1000401CS300020
1000399CS3000031,1000399CS300003
1000523CS3000181,1000523CS300018
1000389CS2000011,1000389CS200001
1001394CS1000091,1001394CS100009
1001394CS2000061,1001394CS200006
1001394CS2000341,1001394CS200034
1000016CS1000101,1000016CS100010
1000540CS3000181,1000540CS300018
1000548CS3000071,1000548CS300007
1000957CS3000071,1000957CS300007
1000543CS2000061,1000543CS200006
1000588CS2000081,1000588CS200008
1000424CS2000251,1000424CS200025
1000549CS1000081,1000549CS100008
1000604CS1000011,1000604CS100001
1000002CS2000311,1000002CS200031
1000215CS2000281,1000215CS200028
1000535CS2000371,1000535CS200037
1001415CS3000361,1001415CS300036
1000539CS1000081,1000539CS100008
1000545CS3000011,1000545CS300001
1000520CS1000081,1000520CS100008
1001126CS3000071,1001126CS300007
1000522CS3000211,1000522CS300021
1000600CS2000071,1000600CS200007
1000545CS3000181,1000545CS300018
1000542CS2000371,1000542CS200037
1000988CS2000011,1000988CS200001
1001480CS1000091,1001480CS100009
1000957CS1000011,1000957CS100001
1001038CS1000031,1001038CS100003
1000426CS3000211,1000426CS300021
1001476CS2000061,1001476CS200006
1000578CS2000011,1000578CS200001
1000559CS3000221,1000559CS300022
1001476CS2000371,1001476CS200037
1001413CS3000111,1001413CS300011
1000578CS3000281,1000578CS300028
1000576CS3000071,1000576CS300007
1000576CS3000061,1000576CS300006
1000940CS3000311,1000940CS300031
1001480CS2000291,1001480CS200029
1000587CS1000031,1000587CS100003
1000925CS1000031,1000925CS100003
1001077CS1000081,1001077CS100008
1000940CS3000021,1000940CS300002
1000606CS2000291,1000606CS200029
1000606CS3000041,1000606CS300004
1001002CS2000071,1001002CS200007
1001477CS2000191,1001477CS200019
1001478CS3000091,1001478CS300009
1001479CS3000311,1001479CS300031
1000958CS1000071,1000958CS100007
1000940CS1000101,1000940CS100010
1000963CS2000371,1000963CS200037
1000953CS3000271,1000953CS300027
1000963CS3000171,1000963CS300017
1000998CS2000081,1000998CS200008
1000942CS2000371,1000942CS200037
1000940CS2000261,1000940CS200026
1000961CS3000181,1000961CS300018
1000961CS2000061,1000961CS200006
1001479CS1000021,1001479CS100002
1000962CS2000241,1000962CS200024
1000950CS3000221,1000950CS300022
1000962CS2000171,1000962CS200017
1000951CS3000081,1000951CS300008
1001083CS2000081,1001083CS200008
1000943CS2000071,1000943CS200007
1001479CS3000011,1001479CS300001
1000947CS1000031,1000947CS100003
1001079CS2000071,1001079CS200007
1000949CS2000281,1000949CS200028
1000948CS2000241,1000948CS200024
1000566CS2000281,1000566CS200028
1000982CS2000021,1000982CS200002
1000944CS1000031,1000944CS100003
1000964CS1000041,1000964CS100004
1000946CS3000211,1000946CS300021
1001060CS2000071,1001060CS200007
1000944CS3000331,1000944CS300033
1000941CS3000071,1000941CS300007
1000941CS2000061,1000941CS200006
1000959CS1000081,1000959CS100008
1000941CS2000171,1000941CS200017
1000957CS2000011,1000957CS200001
1000954CS2000051,1000954CS200005
1000957CS3000021,1000957CS300002
1000957CS2000081,1000957CS200008
1000954CS1000081,1000954CS100008
1001179CS3000111,1001179CS300011
1000980CS3000021,1000980CS300002
1000954CS2000241,1000954CS200024
1000980CS2000011,1000980CS200001
1000878CS2000281,1000878CS200028
1000959CS2000171,1000959CS200017
1001159CS2000301,1001159CS200030
1000628CS2000371,1000628CS200037
1000978CS2000171,1000978CS200017
1001008CS1000091,1001008CS100009
1001001CS1000011,1001001CS100001
1001157CS3000191,1001157CS300019
1001004CS2000311,1001004CS200031
1000984CS2000371,1000984CS200037
1001157CS2000071,1001157CS200007
1001001CS3000021,1001001CS300002
1001163CS2000301,1001163CS200030
1001485CS1000091,1001485CS100009
1000998CS3000291,1000998CS300029
1000990CS2000021,1000990CS200002
1000983CS3000281,1000983CS300028
1000983CS3000111,1000983CS300011
1000993CS3000161,1000993CS300016
1001009CS3000291,1001009CS300029
1001009CS1000081,1001009CS100008
1001489CS3000271,1001489CS300027
1001489CS3000141,1001489CS300014
1000992CS3000221,1000992CS300022
1000967CS1000051,1000967CS100005
1000995CS3000071,1000995CS300007
1001000CS3000021,1001000CS300002
1000952CS3000071,1000952CS300007
1000997CS3000181,1000997CS300018
1001486CS1000011,1001486CS100001
1000969CS1000011,1000969CS100001
1000988CS3000071,1000988CS300007
1000988CS2000311,1000988CS200031
1000988CS3000291,1000988CS300029
