pid,hid,housenum,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21relig1,ott_score_21,sns_score_21,pc_ability_21,smart_ability_21,esteem_21,ott_score_20,sns_score_20,pc_ability_20,smart_ability_20,esteem_20,ott_change,sns_change,pc_change,smart_change,esteem_change
40040002,400400,2,2,58,4,2,1,2,2,5,2.5,3.238095238,3.56,26,3,3,2.80952381,3.64,30,2,-0.5,0.428571428,-0.08,-0.4
40050001,400500,1,1,55,4,2,9,1,2,5,3,3.428571429,3.8,33,4,4,3.619047619,3.92,29,1,-1,-0.19047619,-0.12,0.4
40050002,400500,2,2,49,4,2,1,2,2,4,2,2.19047619,3.8,34,4,4,3.333333333,3.6,29,0,-2,-1.142857143,0.2,0.5
40050003,400500,3,2,14,3,1,1,2,2,6,4.75,3.333333333,3.96,32,5,4,2.761904762,3.8,32,1,0.75,0.571428571,0.16,0
40060001,400600,1,1,48,5,2,8,1,2,4,3.75,3.523809524,2,25,6,0,3.666666667,4.04,27,-2,3.75,-0.142857143,-2.04,-0.2
40060002,400600,2,2,47,5,2,1,2,2,4,3.75,3.333333333,1.88,25,9,3,2.904761905,3.48,24,-5,0.75,0.428571428,-1.6,0.1
40070001,400700,1,2,67,4,2,1,2,2,0,0,1.619047619,2.24,24,0,0,1,1.24,28,0,0,0.619047619,1,-0.4
40070002,400700,2,1,70,4,2,6,1,2,0,0,1.523809524,2.16,32,0,0,1,1.24,30,0,0,0.523809524,0.92,0.2
40070003,400700,3,1,41,5,1,9,1,2,9,5,4.666666667,4.6,29,8,4.5,4.904761905,4.92,28,1,0.5,-0.238095238,-0.32,0.1
40080001,400800,1,2,45,5,2,8,1,2,9,0,3.80952381,4.12,32,9,5.25,3.047619048,3.64,32,0,-5.25,0.761904762,0.48,0
40080002,400800,2,1,47,5,2,8,1,2,9,0,4.238095238,4.48,29,8,0,4.904761905,4.92,31,1,0,-0.666666667,-0.44,-0.2
40100001,401000,1,2,33,5,1,6,1,1,6,5.5,3.80952381,4.28,35,5,5,3.619047619,3.92,31,1,0.5,0.190476191,0.36,0.4
40110001,401100,1,1,55,5,2,9,1,2,4,3.75,3.666666667,2.32,26,9,1.5,3.380952381,3.92,28,-5,2.25,0.285714286,-1.6,-0.2
40110002,401100,2,2,55,5,2,7,1,2,4,3.75,3.19047619,1.96,25,6,2.75,2.904761905,3.6,26,-2,1,0.285714285,-1.64,-0.1
40120001,401200,1,1,47,5,2,9,1,2,5,1.75,3.714285714,4.08,27,5,2.25,3.952380952,4.28,29,0,-0.5,-0.238095238,-0.2,-0.2
40120002,401200,2,2,47,5,2,1,2,2,4,2.5,3.523809524,3.84,28,6,3,2.904761905,3.28,28,-2,-0.5,0.619047619,0.56,0
40130001,401300,1,2,73,2,3,6,1,1,0,0,2.761904762,3.24,27,0,0,1.714285714,2.4,33,0,0,1.047619048,0.84,-0.6
40140001,401400,1,1,49,5,2,9,1,2,5,3,3.523809524,4.28,29,5,0,3.619047619,4.08,25,0,3,-0.095238095,0.2,0.4
40140002,401400,2,2,49,5,2,1,2,1,5,1.25,3.619047619,4.16,27,8,3.5,3.095238095,3.72,19,-3,-2.25,0.523809524,0.44,0.8
40160001,401600,1,1,52,5,1,8,1,2,5,3,3.761904762,4,27,9,0,4.095238095,4.2,33,-4,3,-0.333333333,-0.2,-0.6
40170001,401700,1,2,61,5,3,8,1,2,4,3.25,3.428571429,3.68,24,5,0,4.380952381,4.24,33,-1,3.25,-0.952380952,-0.56,-0.9
40180001,401800,1,2,65,4,1,5,1,2,5,1.25,1.142857143,1.68,29,0,1.25,1.952380952,2.36,29,5,0,-0.809523809,-0.68,0
40190001,401900,1,1,67,4,4,8,1,2,5,0,1,1.48,27,8,2.25,1.619047619,2.04,26,-3,-2.25,-0.619047619,-0.56,0.1
40190002,401900,2,1,38,5,1,6,1,2,7,0,3.333333333,3.76,26,5,6.75,4.19047619,3.96,25,2,-6.75,-0.857142857,-0.2,0.1
40190003,401900,3,2,32,5,1,6,1,2,7,4.5,4.095238095,4,27,8,5.5,3.761904762,3.84,22,-1,-1,0.333333333,0.16,0.5
40200002,402000,2,2,60,4,2,1,2,2,9,5,1.666666667,1.68,32,9,2.25,1.19047619,2.24,28,0,2.75,0.476190477,-0.56,0.4
40200003,402000,3,2,26,5,1,6,1,2,6,5.5,3.666666667,4,29,5,7,4.095238095,4.52,29,1,-1.5,-0.428571428,-0.52,0
40210001,402100,1,2,66,4,4,6,1,2,5,0,1.571428571,2.28,29,8,0,1.857142857,2.08,27,-3,0,-0.285714286,0.2,0.2
40220001,402200,1,2,61,5,2,1,2,2,6,0,1.619047619,2.24,30,8,5,1.904761905,2.56,21,-2,-5,-0.285714286,-0.32,0.9
40220002,402200,2,1,64,4,2,8,1,2,7,0,1.476190476,1.96,25,5,4,1.857142857,2.96,28,2,-4,-0.380952381,-1,-0.3
40220003,402200,3,2,33,5,1,7,1,2,5,7,4,4.16,27,8,6.5,3.666666667,3.88,25,-3,0.5,0.333333333,0.28,0.2
40220004,402200,4,2,32,5,1,7,1,2,5,5.75,4.19047619,4.24,27,9,9,3.714285714,3.92,26,-4,-3.25,0.476190476,0.32,0.1
40230001,402300,1,1,63,4,2,8,1,2,5,2,1.857142857,2.32,31,5,2,3.380952381,3.76,29,0,0,-1.523809524,-1.44,0.2
40230002,402300,2,2,68,4,2,1,2,2,4,3,1.80952381,2.36,30,4,3,3.047619048,3.6,31,0,0,-1.238095238,-1.24,-0.1
40230003,402300,3,2,33,5,1,6,1,2,6,4.25,3.80952381,4.08,31,5,5,3.904761905,4.16,32,1,-0.75,-0.095238095,-0.08,-0.1
40230004,402300,4,2,29,5,1,6,1,2,5,3,4.142857143,4.36,33,5,6,3.952380952,4.08,35,0,-3,0.190476191,0.28,-0.2
40240001,402400,1,1,51,5,2,9,1,2,5,0,2.142857143,3.28,29,5,3,4.285714286,4.2,31,0,-3,-2.142857143,-0.92,-0.2
40240002,402400,2,2,47,5,2,7,1,2,5,0,3.666666667,3.76,29,6,3.5,4.142857143,4.32,31,-1,-3.5,-0.476190476,-0.56,-0.2
40280001,402800,1,2,58,4,1,7,1,2,6,1.25,2.428571429,3.56,34,0,1.25,1.857142857,2.2,29,6,0,0.571428572,1.36,0.5
40290001,402900,1,1,48,5,2,10,1,2,4,3.75,2.19047619,3.08,26,5,0,4.19047619,4.2,32,-1,3.75,-2,-1.12,-0.6
40290002,402900,2,2,46,4,2,1,2,2,4,1.25,2.285714286,3.48,25,0,6.25,3.285714286,3.68,29,4,-5,-1,-0.2,-0.4
40300001,403000,1,2,56,4,4,7,1,2,0,0,2.238095238,2.6,25,0,0,1.857142857,2.28,29,0,0,0.380952381,0.32,-0.4
40300002,403000,2,2,92,2,3,1,2,2,0,0,1,1,21,0,0,1,1,27,0,0,0,0,-0.6
40310001,403100,1,1,49,4,2,9,1,1,9,0,3.857142857,4.12,35,6,0,3.523809524,3.28,28,3,0,0.333333333,0.84,0.7
40310002,403100,2,2,45,5,2,1,2,1,8,0,3.476190476,3.6,33,0,0,4.238095238,4.64,28,8,0,-0.761904762,-1.04,0.5
40310003,403100,3,1,15,3,1,1,2,1,0,4,2.428571429,3,30,0,0,2.761904762,3.44,31,0,4,-0.333333333,-0.44,-0.1
40320001,403200,1,1,53,5,2,9,1,2,4,3.75,3.666666667,2.12,26,7,0,4.238095238,4.32,31,-3,3.75,-0.571428571,-2.2,-0.5
40320002,403200,2,2,52,4,2,1,2,1,5,0,3.761904762,2.16,29,5,0,3.380952381,3.64,31,0,0,0.380952381,-1.48,-0.2
40330001,403300,1,2,86,2,3,4,2,2,0,0,1,1.48,29,0,0,1,1.4,29,0,0,0,0.08,0
40340001,403400,1,1,50,4,2,9,1,2,5,4,3.428571429,2.16,28,9,4,4,4.08,31,-4,0,-0.571428571,-1.92,-0.3
40340002,403400,2,2,45,4,2,6,1,2,5,0,3.666666667,2.2,29,9,0,3.142857143,3.4,29,-4,0,0.523809524,-1.2,0
40360001,403600,1,2,64,4,3,6,1,2,5,0,2.333333333,2.28,28,5,0,1.714285714,2.04,28,0,0,0.619047619,0.24,0
40360002,403600,2,2,37,4,2,7,1,2,8,4,2.619047619,2.68,26,9,6,4.476190476,4.2,32,-1,-2,-1.857142857,-1.52,-0.6
40370001,403700,1,1,46,5,2,8,1,2,8,4,3.619047619,3.16,27,9,6.5,3.857142857,3.92,30,-1,-2.5,-0.238095238,-0.76,-0.3
40370002,403700,2,2,46,4,2,7,1,2,5,1.75,3.333333333,3.08,25,9,6,3.19047619,3.4,33,-4,-4.25,0.142857143,-0.32,-0.8
40380001,403800,1,1,80,4,2,7,1,2,0,1.25,2.904761905,3.36,26,0,0,1.571428571,1.72,31,0,1.25,1.333333334,1.64,-0.5
40380002,403800,2,2,73,4,2,1,2,2,5,1.25,3.380952381,3.48,27,0,0,1.571428571,1.84,23,5,1.25,1.80952381,1.64,0.4
40390001,403900,1,1,63,4,2,9,1,2,5,0,2.761904762,3.52,28,6,0,3.428571429,4.36,33,-1,0,-0.666666667,-0.84,-0.5
40390002,403900,2,2,59,4,2,6,1,2,8,3.5,3,3,27,8,0,4.333333333,4.16,34,0,3.5,-1.333333333,-1.16,-0.7
40400002,404000,2,2,64,4,2,7,1,2,8,0,2.19047619,2.68,27,0,0,2.952380952,2.28,28,8,0,-0.761904762,0.4,-0.1
40400003,404000,3,2,32,5,1,8,1,2,9,5.5,4.476190476,4.52,33,8,6,4.19047619,4.48,32,1,-0.5,0.285714286,0.04,0.1
40400004,404000,4,1,28,5,1,7,1,2,9,5,4.80952381,4.84,33,9,6,4.666666667,4.6,27,0,-1,0.142857143,0.24,0.6
40410001,404100,1,1,73,3,2,3,2,1,6,0,1,2,31,0,0,1.238095238,1.8,29,6,0,-0.238095238,0.2,0.2
40410002,404100,2,2,71,3,2,4,2,1,5,0,1.19047619,1.84,29,0,0,1.333333333,1.8,31,5,0,-0.142857143,0.04,-0.2
40420001,404200,1,2,37,5,1,8,1,2,8,5.75,4.285714286,4.2,23,5,4.5,3.714285714,4.36,31,3,1.25,0.571428572,-0.16,-0.8
40420002,404200,2,1,34,5,1,7,1,2,8,0,4.095238095,4.36,23,6,6,4.095238095,4.32,31,2,-6,0,0.04,-0.8
40430001,404300,1,1,41,5,2,7,1,2,8,0,4.095238095,4.24,25,5,3,3.952380952,4.2,24,3,-3,0.142857143,0.04,0.1
40430002,404300,2,2,41,5,2,1,2,2,6,6.5,4.095238095,4.2,29,5,3.5,3.19047619,3.2,34,1,3,0.904761905,1,-0.5
40440001,404400,1,1,47,4,1,7,1,2,5,0,3.142857143,3.72,25,5,3.75,4.047619048,4.12,31,0,-3.75,-0.904761905,-0.4,-0.6
40440003,404400,3,2,76,3,2,1,2,1,0,0,1.333333333,1.36,30,0,0,1,1.16,32,0,0,0.333333333,0.2,-0.2
40450001,404500,1,1,55,5,2,10,1,2,5,4,3.619047619,3.92,32,4,3,4,4.12,32,1,1,-0.380952381,-0.2,0
40450002,404500,2,2,55,5,2,1,2,2,5,4,2.761904762,3.68,32,4,3,3.095238095,3.4,33,1,1,-0.333333333,0.28,-0.1
40450003,404500,3,2,25,5,1,6,1,2,6,5.75,3.761904762,4,33,5,4,3.571428571,3.88,33,1,1.75,0.190476191,0.12,0
40450004,404500,4,1,22,5,1,1,2,2,7,5,3.666666667,4.16,35,5,4,4.238095238,4.2,33,2,1,-0.571428571,-0.04,0.2
40460004,404600,4,2,43,5,2,9,1,2,9,0,4.095238095,4.4,28,9,3.75,3.428571429,4.48,29,0,-3.75,0.666666666,-0.08,-0.1
40490001,404900,1,1,79,4,2,5,2,1,0,1.25,1.333333333,1.84,33,0,1.25,1,1.96,30,0,0,0.333333333,-0.12,0.3
40490002,404900,2,2,77,4,2,1,2,1,0,1.25,1.333333333,1.64,29,0,1.25,1.19047619,1.52,29,0,0,0.142857143,0.12,0
40500001,405000,1,1,68,4,2,6,1,2,5,0,1.285714286,1.68,25,5,3,1.666666667,2.04,35,0,-3,-0.380952381,-0.36,-1
40500002,405000,2,2,62,4,2,1,2,2,6,5.5,1.80952381,1.6,25,8,0,2.238095238,1.92,25,-2,5.5,-0.428571428,-0.32,0
40520001,405200,1,1,61,4,2,8,1,2,8,0,3.285714286,3.68,32,0,0,3.476190476,4,30,8,0,-0.19047619,-0.32,0.2
40520002,405200,2,2,59,4,2,1,2,2,8,0,2.571428571,3,31,8,0,3.19047619,3.6,32,0,0,-0.619047619,-0.6,-0.1
40530001,405300,1,1,45,5,2,9,1,2,9,0,4.476190476,4.32,32,7,0,4.047619048,4.68,26,2,0,0.428571428,-0.36,0.6
40530002,405300,2,2,47,5,2,7,1,2,8,0,3.952380952,4.16,27,7,0,3.19047619,3.72,25,1,0,0.761904762,0.44,0.2
40530003,405300,3,2,78,3,3,1,2,2,0,0,1,1.24,23,0,0,1,1,25,0,0,0,0.24,-0.2
40540001,405400,1,1,68,2,2,7,1,2,5,2.5,3.571428571,3.64,26,0,0,2.857142857,3.08,26,5,2.5,0.714285714,0.56,0
40540002,405400,2,2,67,2,2,1,2,2,7,3.75,3.380952381,3.52,28,7,0,3.142857143,3.52,29,0,3.75,0.238095238,0,-0.1
40550001,405500,1,1,54,4,2,9,1,2,5,3,2.714285714,3.84,34,9,3,3.714285714,3.96,30,-4,0,-1,-0.12,0.4
40550002,405500,2,2,54,4,2,5,1,2,6,2,2.714285714,3.92,30,9,2,3.80952381,4.08,30,-3,0,-1.095238096,-0.16,0
