시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,65.78,202302,9,"38,682",5,1973,연서로17길 12
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.2,202301,30,"31,809",5,1973,연서로19길 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.2,202305,11,"27,980",6,1973,연서로19길 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,65.78,202301,30,"38,279",6,1973,연서로17길 12
서울특별시 용산구 보광동,260-6,260,6,주미,69.39,202302,8,"145,000",10,1973,보광로 40
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,54.02,202306,17,"38,850",1,1974,통일로32길 14
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202305,5,"224,500",1,1974,이촌로88길 15
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202304,27,"224,500",1,1974,이촌로88길 15
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,54.02,202304,25,"39,700",1,1974,통일로32길 14
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,54.02,202304,25,"39,900",1,1974,통일로32길 14
서울특별시 서초구 반포동,757,757,0,반포주공1단지,106.26,202304,13,"482,000",1,1974,신반포로 45
서울특별시 서초구 반포동,757,757,0,반포주공1단지,106.25,202302,28,"430,000",1,1974,신반포로 9
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202301,20,"285,000",1,1974,신반포로 32
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202309,3,"246,000",2,1974,이촌로88길 15
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202309,3,"246,000",2,1974,이촌로88길 15
서울특별시 용산구 한강로3가,16-20,16,20,원효전자상가,55.77,202306,26,"50,000",2,1974,청파로 83
서울특별시 영등포구 여의도동,52,52,0,은하,121.51,202305,15,"190,000",2,1974,63로 7
서울특별시 영등포구 신길동,3002,3002,0,남서울,66.12,202303,26,"89,000",2,1974,신길로 108
서울특별시 서초구 반포동,757,757,0,반포주공1단지,106.25,202303,16,"445,000",2,1974,신반포로 9
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202302,5,"250,000",2,1974,신반포로 32
서울특별시 서초구 반포동,757,757,0,반포주공1단지,106.26,202301,16,"430,000",2,1974,신반포로 45
서울특별시 영등포구 신길동,3002,3002,0,남서울,49.59,202311,22,"83,350",3,1974,신길로 108
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,62.81,202309,10,"54,700",3,1974,통일로32길 14
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202308,26,"239,000",3,1974,이촌로88길 15
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,54.02,202308,16,"51,000",3,1974,통일로32길 14
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202307,27,"225,000",3,1974,이촌로88길 15
서울특별시 관악구 봉천동,941-2,941,2,삼성,64.12,202306,19,"28,000",3,1974,은천로 46
서울특별시 서초구 반포동,757,757,0,반포주공1단지,106.26,202303,13,"455,000",3,1974,신반포로 45
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202302,3,"239,000",3,1974,신반포로 32
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202301,10,"254,000",3,1974,신반포로 32
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.33,202301,3,"545,000",3,1974,신반포로 9
서울특별시 용산구 이촌동,302-45,302,45,노들,227.08,202311,21,"168,000",4,1974,이촌로64길 20
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202305,12,"240,000",4,1974,이촌로88길 15
서울특별시 영등포구 여의도동,52,52,0,은하,121.51,202304,28,"178,000",4,1974,63로 7
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.33,202303,21,"590,000",4,1974,신반포로 9
서울특별시 서초구 반포동,757,757,0,반포주공1단지,108.33,202303,16,"495,000",4,1974,신반포로 45
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202301,18,"276,000",4,1974,신반포로 32
서울특별시 서초구 반포동,968,968,0,에이아이디차관주택,72.51,202301,13,"268,000",4,1974,신반포로 32
서울특별시 동작구 노량진동,227-5,227,5,노량진맨션,57.32,202312,28,"109,000",5,1974,장승배기로18길 27
서울특별시 서대문구 홍제동,104-6,104,6,인왕궁맨숀,54.02,202309,13,"38,000",5,1974,통일로32길 14
서울특별시 서초구 반포동,757,757,0,반포주공1단지,104.89,202304,5,"470,000",5,1974,신반포로 9
서울특별시 서초구 반포동,757,757,0,반포주공1단지,104.89,202302,17,"430,000",5,1974,신반포로 9
