pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
1770002,17700,52,3,3,1,4,1,2,1,1,1,1,6,6,6
1770003,17700,24,3,3,1,3,1,3,4,2,1,1,7,7,7
1770004,17700,20,4,3,1,4,1,4,1,2,1,1,7,7,7
1800001,18000,54,3,3,1,3,2,3,3,4,1,1,6,6,6
1800002,18000,51,3,3,1,3,2,2,3,3,2,2,5,5,5
1800003,18000,24,3,3,1,3,2,3,3,4,1,1,6,6,6
1800004,18000,22,2,2,2,2,2,2,3,2,2,2,4,4,4
1840001,18400,53,3,3,1,3,1,3,3,2,1,1,5,5,5
1840002,18400,52,4,4,1,4,1,3,3,2,1,1,5,5,5
1850001,18500,52,2,3,1,4,1,3,2,3,1,2,5,5,3
1850003,18500,25,4,3,1,3,1,3,3,1,1,1,5,5,5
1850004,18500,24,3,2,2,3,2,2,2,2,1,2,3,4,4
1850005,18500,22,3,3,1,2,2,3,3,3,1,2,4,4,5
1870001,18700,47,3,3,1,3,2,3,3,2,1,1,5,5,5
1870002,18700,46,2,2,1,3,3,2,2,2,1,1,4,5,5
1870003,18700,19,3,3,1,2,2,2,2,3,1,1,5,5,5
1870004,18700,16,3,3,1,2,2,3,3,3,3,1,4,5,5
1880001,18800,58,3,3,1,3,1,3,3,3,1,1,6,6,6
1880002,18800,54,3,3,2,3,2,3,3,3,1,1,6,6,6
1880003,18800,26,3,3,1,3,1,4,4,2,1,1,5,5,5
1880004,18800,80,3,3,1,3,1,3,3,3,1,1,5,6,6
1880005,18800,81,3,3,3,3,2,2,2,2,2,2,4,4,4
1890001,18900,82,3,3,1,3,1,3,3,2,1,1,5,4,5
1890002,18900,79,3,3,1,3,1,3,3,3,1,1,6,6,5
1960001,19600,83,2,2,2,2,2,2,2,1,2,1,4,4,4
1960002,19600,76,2,2,2,2,2,3,3,2,2,2,5,5,4
1980001,19800,52,4,4,1,4,2,3,3,3,1,1,4,4,4
1990001,19900,56,4,3,1,3,3,3,3,3,1,1,4,5,4
1990002,19900,54,3,2,1,2,3,2,2,3,1,1,4,4,4
1990003,19900,26,3,3,1,3,2,3,3,3,1,1,5,4,4
1990004,19900,21,3,2,1,2,3,2,2,3,2,2,5,5,4
2000002,20000,63,3,3,1,3,3,3,3,3,1,1,4,4,4
2000005,20000,23,3,3,2,2,3,3,3,2,2,2,4,5,4
