code,lat,lon
1252,37.555134,126.936893
1261,37.539261,126.961351
1262,37.544018,126.951592
1264,37.557192,126.925381
1267,37.580842,126.895611
1268,37.602888,126.868387
1269,37.612314,126.843223
1270,37.612102,126.834146
1271,37.618808,126.820783
1272,37.645676,126.801762
1274,37.672346,126.786243
1275,37.682077,126.769846
1276,37.694023,126.761086
1278,37.725826,126.767257
1279,37.751322,126.765347
1282,37.796188,126.792587
1283,37.815298,126.792783
1284,37.854619,126.788047
1263,37.551881,126.935711
1273,37.658239,126.794461
1277,37.712327,126.761356
1280,37.766217,126.774644
1266,37.576646,126.900984
300,37.631626,126.811024
1010,37.52943,127.009169
null,37.529849,126.964561
null,37.58946,127.057583
1265,37.568491,126.915487
1305,37.623632,127.061835
1306,37.580178,127.046835
1307,37.58946,127.057583
1309,37.596362,127.085032
1310,37.59955,127.091909
1311,37.612887,127.103218
1312,37.634118,127.114757
1313,37.64202,127.12684
1314,37.648311,127.143952
1315,37.65108,127.176933
1317,37.653225,127.244493
1319,37.652782,127.311767
1320,37.684071,127.379319
1321,37.735488,127.42661
1322,37.770246,127.454821
1323,37.814536,127.510739
1324,37.832067,127.557695
1325,37.830779,127.58933
1326,37.805723,127.634146
1327,37.818466,127.71434
1328,37.864007,127.723792
1316,37.637382,127.207853
1318,37.658978,127.285379
1329,37.885054,127.717023
1308,37.594917,127.076116
4207,37.562434,126.801058
4208,37.571462,126.735637
4206,37.567336,126.829497
4209,37.569104,126.673728
4201,37.554648,126.972559
4202,37.544018,126.951592
4203,37.557192,126.925381
4204,37.576646,126.900984
4210,37.555878,126.625327
4211,37.492904,126.49379
4212,37.458366,126.476241
4217,37.511466,126.5237
4929,37.562434,126.801058
1023,37.504503,127.049008
1024,37.496237,127.052873
1025,37.490858,127.055381
1026,37.486839,127.058856
1027,37.489116,127.06614
1028,37.491373,127.07272
null,37.561533,127.037732
1030,37.487371,127.10188
1031,37.470047,127.126662
1847,37.543617,127.044707
1848,37.527381,127.040534
1849,37.517186,127.04128
1850,37.51098,127.043593
1851,37.448605,127.126697
1852,37.440019,127.127709
1853,37.43213,127.129087
1854,37.411185,127.128715
1855,37.385126,127.123592
1856,37.378455,127.114322
1857,37.36706,127.108105
1858,37.350077,127.10891
1860,37.396104,127.12827
1864,37.286102,127.111313
1866,37.26181,127.108847
1867,37.259489,127.078934
1868,37.251568,127.071394
1869,37.245795,127.057353
1870,37.252759,127.040566
1871,37.261911,127.030736
1872,37.265481,127.015678
1863,37.298969,127.105664
