Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,28700,28740,28120,28360,279.677307,13748800
2015-03-04,28220,28800,28200,28740,283.424774,11603100
2015-03-05,28780,28860,28340,28440,280.466278,9615600
2015-03-06,28280,28980,28120,28840,284.410919,11733500
2015-03-09,28800,28800,28400,28400,280.071777,7814600
2015-03-10,28680,28860,28400,28420,280.268982,10419850
2015-03-11,28380,29580,28360,29480,290.722412,21108650
2015-03-12,29200,29460,28940,28940,285.397095,19153200
2015-03-13,29220,29580,29100,29140,287.369446,9413100
2015-03-16,29160,29740,29100,29400,289.933411,8974550
2015-03-17,29400,30000,29200,29940,295.258759,13661150
2015-03-18,29920,30120,29720,30060,296.442139,12464350
2015-03-19,30200,30200,29400,29400,289.933411,13225800
2015-03-20,29500,29600,29200,29280,288.750092,12704950
2015-03-23,29240,29480,29160,29340,289.341736,8122900
2015-03-24,29100,29560,29100,29520,291.116852,9113150
2015-03-25,29740,29760,29440,29700,292.891968,9369050
2015-03-26,29000,29120,28420,28420,280.268982,21005950
2015-03-27,28300,28960,28300,28420,280.268982,16065800
2015-03-30,28500,28680,28240,28560,281.649658,8955500
2015-03-31,28980,29040,28600,28820,284.213715,9842650
2015-04-01,28740,28740,28400,28460,280.663452,7266050
2015-04-02,28680,28800,28460,28680,282.833038,6903400
2015-04-03,28680,28800,28400,28680,282.833038,6270150
2015-04-06,28860,29800,28700,29400,289.933411,10582600
2015-04-07,29560,29700,29240,29240,288.355591,9526050
2015-04-08,29400,29700,29200,29580,291.708588,7773400
2015-04-09,29400,29780,29400,29660,292.497437,9107550
2015-04-10,29600,29880,29560,29800,293.878113,9960100
2015-04-13,29580,29820,29360,29580,291.708588,10293300
2015-04-14,29700,29700,29300,29480,290.722412,9429750
2015-04-15,29200,29400,28540,28920,285.199829,13551050
2015-04-16,29240,29540,28940,29540,291.314087,10762350
2015-04-17,29540,29560,28940,29000,285.9888,10172300
2015-04-20,28920,28960,28460,28600,282.044098,12394900
2015-04-21,28420,28900,28400,28880,284.805359,11852650
2015-04-22,28880,29460,28720,29220,288.158325,12655550
2015-04-23,29400,29400,28800,29020,286.186035,9245150
2015-04-24,28980,29100,28000,28200,278.099457,19089900
2015-04-27,28200,28220,27500,27900,275.14093,16517150
2015-04-28,27800,28000,27180,27320,269.421173,15697300
