hid,h21area,h21hhld,h21fly_typ,h21houstyp,h21h_income1,h21h_income2
88400,6,4,3,2,13,6
88700,6,1,1,2,2,1
88800,6,3,3,2,13,6
88900,7,4,3,2,7,4
89000,7,5,3,2,9,5
89100,7,4,3,1,9,5
89300,7,3,3,2,9,5
89400,7,5,3,2,6,3
89500,7,4,3,1,7,4
89600,7,3,3,2,8,4
89700,7,4,3,2,12,6
89800,7,4,3,2,9,5
90200,2,1,1,1,2,1
90300,2,1,1,2,2,1
90400,2,4,4,1,11,6
91300,2,5,3,2,20,6
91400,2,3,3,2,12,6
91500,2,5,3,3,13,6
91700,7,1,1,2,3,2
91800,7,1,1,2,1,1
91900,7,1,1,2,2,1
92000,7,1,1,2,2,1
92001,7,4,3,2,10,5
92300,7,4,3,2,8,4
92400,7,1,1,2,2,1
92500,7,4,3,2,7,4
92700,8,3,3,2,11,6
92800,8,4,3,2,12,6
92900,8,4,3,2,10,5
93200,8,3,3,2,12,6
93400,8,4,3,2,9,5
93500,8,4,3,3,14,6
93700,8,3,3,3,9,5
93800,8,4,3,3,16,6
93900,8,2,2,2,2,1
94300,8,1,1,2,1,1
94400,8,2,5,2,5,3
94700,1,5,3,3,11,6
94800,1,2,2,3,7,4
94900,1,2,3,1,15,6
95000,1,2,3,1,11,6
95100,1,3,3,2,22,6
95400,8,5,3,2,11,6
95500,1,4,3,2,22,6
95600,1,4,3,2,21,6
95700,1,4,3,2,22,6
95800,1,4,3,2,22,6
96000,6,3,3,3,12,6
96100,6,3,3,2,11,6
96200,6,3,4,3,8,4
96300,6,2,2,3,6,3
96400,6,3,3,3,8,4
96500,6,4,3,1,14,6
96600,6,4,3,3,12,6
96800,8,2,2,1,8,4
97000,8,2,2,1,12,6
97100,8,1,1,3,7,4
97200,8,2,2,1,6,3
97300,8,4,4,3,10,5
97500,8,4,3,2,10,5
97800,5,4,3,1,20,6
97900,5,2,2,1,6,3
98100,5,2,2,1,5,3
98300,5,4,3,2,11,6
98400,5,3,3,2,8,4
98700,6,3,3,2,13,6
98900,6,4,3,2,6,3
99200,6,4,3,2,10,5
99300,6,3,3,2,11,6
99301,8,3,3,1,14,6
99302,11,1,1,2,8,4
99400,8,4,3,1,16,6
99500,8,2,2,3,9,5
99600,7,4,3,1,9,5
100200,7,3,3,2,7,4
100400,1,3,3,2,7,4
100500,4,2,2,2,10,5
100600,4,4,3,3,16,6
100700,4,1,1,2,2,1
100800,4,1,1,2,3,2
100900,4,4,3,3,5,3
101000,4,1,1,3,3,2
101100,4,1,1,3,2,1
101300,1,4,3,2,16,6
101400,4,1,1,2,2,1
101500,4,1,1,3,2,1
101600,4,1,1,2,2,1
101900,4,2,2,2,4,2
102100,4,1,1,2,3,2
102200,4,4,3,2,8,4
102300,4,3,3,1,11,6
102400,4,4,3,2,19,6
102500,4,4,3,2,7,4
102600,4,3,3,2,10,5
102700,4,2,2,2,3,2
102800,4,4,3,2,14,6
102900,1,2,3,2,11,6
103000,1,1,1,2,6,3
103100,4,2,2,2,2,1
103200,4,5,4,3,9,5
103300,1,4,3,2,21,6
103500,1,4,3,2,16,6
103600,1,4,3,3,14,6
103700,1,2,2,3,11,6
103900,7,2,2,2,6,3
104000,4,1,1,3,3,2
104100,4,2,2,3,8,4
104101,4,3,3,1,8,4
104500,8,3,3,2,15,6
104700,7,1,1,1,6,3
104800,5,4,3,2,11,6
104900,5,4,3,2,8,4
105300,5,3,3,2,16,6
105400,5,3,3,2,14,6
105500,5,5,3,1,7,4
105600,5,3,3,1,9,5
105700,5,3,3,2,15,6
105800,5,4,3,2,11,6
106000,5,2,2,1,10,5
106100,5,2,2,1,3,2
106200,5,2,2,1,4,2
106300,1,3,3,2,7,4
106500,1,4,3,3,21,6
106600,1,3,3,2,18,6
106700,1,5,3,3,18,6
106800,1,4,3,3,13,6
106900,1,4,3,3,9,5
107000,1,3,3,3,2,1
107100,1,1,1,1,3,2
107200,8,5,5,2,19,6
107300,1,3,3,2,22,6
107400,1,3,3,3,9,5
107500,1,4,3,2,16,6
107600,1,5,3,2,8,4
107800,1,2,2,1,6,3
107900,1,4,3,2,6,3
108000,1,1,1,3,1,1
108100,1,1,1,2,2,1
