pid,hid,housenum,p20ans,p21ans,p20area,p20area_siz,p20hhldsiz,p20gender,p20age1,p20school,p20mar,p20income1,p20job1,p20job2,p20relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p20d25040,p20d25041,p20d25042,p20d25043,p20d25044,p20d25045,p20d25046,p20d25047,p20d25048,p20d25049,p20d25050,p20d25051,p20d25052,p20d25053,p20d25054,p20d25055,p20d25056,p20d25057,p20d25058,p20d25059,p20d25060,pc_ability,p20d25061,p20d25062,p20d25063,p20d25064,p20d25065,p20d25066,p20d25067,p20d25068,p20d25070,p20d25071,p20d25072,p20d25073,p20d25074,p20d25075,p20d25076,p20d25077,p20d25078,p20d25079,p20d25080,p20d25081,p20d25082,p20d25083,p20d25084,p20d25085,p20d25086,smart_ability,p20h01001,p20h01002,p20h01003,p20h01004,p20h01005,p20h01006,p20h01007,p20h01008,p20h01009,p20h01010,esteem
260002,2600,2,1,1,1,1,3,2,57,4,2,1,2, ,1,1,5,5,1,6,8,9,6,4,2,1,4,2.75,3,2,3,2,3,3,3,4,3,5,4,4,5,5,4,5,3,4,3,4,4,3.619047619,4,5,5,5,4,3,4,3,4,4,5,5,3,4,5,5,4,5,4,3,4,5,2,3,4,4.08,2,2,1,2,1,3,3,2,1,1,31
260003,2600,3,1,1,1,1,3,2,28,5,1,7,1,1,2,1,1,9,1,1,7,9,1,9,3,1,9,5.5,4,5,5,4,5,3,4,3,5,5,4,5,4,3,4,5,5,4,5,3,5,4.285714286,4,4,5,5,4,5,3,4,4,4,5,5,4,5,3,4,3,4,4,5,4,5,3,4,4,4.16,3,3,2,3,2,4,3,3,1,2,31
260004,2600,4,1,1,1,1,3,1,26,5,1,7,1,1,2,1,1,9,1,1,9,9,3,9,1,1,7,4.5,4,3,5,4,4,5,3,5,4,4,5,3,4,4,5,4,5,3,4,4,5,4.142857143,4,5,5,5,4,5,3,5,5,4,5,3,5,4,5,4,5,3,4,4,5,3,3,5,4,4.28,2,2,1,3,2,3,4,2,2,1,31
270001,2700,1,1,1,1,1,2,1,66,4,2,5,1,1,2,1,3,7,2, , , , ,0,0,0,0,0,4,4,5,3,4,3,3,5,5,4,4,5,3,4,3,5,4,4,4,5,4,4.047619048,5,5,4,5,3,4,3,4,3,2,4,4,3,3,4,5,4,4,5,3,4,4,3,3,4,3.8,3,4,1,3,1,4,3,3,1,1,35
270002,2700,2,1,1,1,1,2,2,54,4,2,6,1,1,2,1,4,6,1,3,5,9,3,7,5,1,7,5,4,4,5,4,5,5,2,2,4,3,3,2,3,4,3,2,2,2,3,1,2,3.095238095,5,5,5,4,5,4,5,4,4,2,4,3,3,2,3,4,2,3,4,2,5,2,1,2,2,3.4,4,4,1,2,1,3,4,4,2,1,33
290001,2900,1,1,1,1,1,3,2,65,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,2,2,3,2,1,2,3,2,2,5,3,3,3,3,1,1,2,1,2.333333333,5,5,5,3,2,3,4,4,3,2,2,2,1,1,2,2,2,2,3,1,1,1,2,1,1,2.4,2,2,3,3,2,1,1,3,3,2,21
290002,2900,2,1,1,1,1,3,1,58,4,2,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,3,3,4,4,4,2,3,3,3,3,2,5,5,5,5,3,3,2,2,2,3.333333333,5,5,5,5,5,4,4,4,3,4,4,4,4,2,4,4,3,3,2,1,1,2,2,2,1,3.32,2,2,3,3,3,2,1,2,3,2,22
290003,2900,3,1,1,1,1,3,2,35,5,1,7,1,1,1,2, ,0,1,4,5,4,4,6,5,6,6,5.75,5,5,5,5,5,5,4,4,4,4,4,3,5,5,5,5,4,4,3,3,4,4.333333333,5,5,5,5,5,4,5,4,5,4,4,4,3,3,5,5,4,5,4,4,4,3,3,3,3,4.16,2,2,1,3,3,3,2,2,1,2,28
300001,3000,1,1,1,1,1,3,2,57,4,3,5,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,2,1,1,1,1,1,2.285714286,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,1,1,1,1,2.32,3,2,1,3,2,2,2,2,1,2,29
300002,3000,2,1,1,1,1,3,2,30,5,1,5,1,1,1,1,6,4,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4.619047619,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4.6,3,3,2,3,2,3,2,2,1,3,29
